Название,Состав,Цена,Ссылка на товар
СТЕЙК ИЗ ЛОСОСЯ С СОУСОМ ТАРТАР,"Состав: лосось, рис с овощами, креветки, томаты черри, лимон, соус тартар","24,00 BYN",https://sushidom.by/product/stejk-iz-lososja-s-sousom-tartar/
Сырные монетки,Нет состава,"4,50 BYN",https://sushidom.by/product/syrnye-monetki/
Сырные палочки,Нет состава,"4,50 BYN",https://sushidom.by/product/syrnye-palochki/
СЫРНЫЙ,Нет состава,"0,90 BYN",https://sushidom.by/product/syrnyj/
ТАРТАР ИЗ ЛОСОСЯ,"Состав: лосось, манго, лук, укроп, горчица, сметана, икра лососевая, крутоны, лимон","13,90 BYN",https://sushidom.by/product/tartar-iz-lososja/
ТЕМПУРА АССОРТИ,"Состав: «Темпура Сяке» ролл, «Темпура Эби» ролл, «Темпура чикен» ролл","27,00 BYN",https://sushidom.by/product/tempura-assorti/
ТЕРИЯКИ,Нет состава,"1,50 BYN",https://sushidom.by/product/terijaki/
ТИГРОВЫЕ КРЕВЕТКИ В ТЕМПУРЕ,"Состав: Тигровые креветки, мука темпура, панировочные сухари, лимон, соус, чили сладкий","18,00 BYN",https://sushidom.by/product/tigrovye-krevetki-v-tempure/
ТУНЕЦ НЕЯМА,"Состав: тунец, кунжут, кунжутный соус, лист салата, перец болгарский, томаты черри, лимон","19,00 BYN",https://sushidom.by/product/tunec-nejama/
УНАГИ САРАДА,"Состав: Томаты черри, лист салата, угорь, авокадо, кунжут, ореховый соус","8,30 BYN",https://sushidom.by/product/unagi-sarada/
ФАНТА,Нет состава,"3,00 BYN",https://sushidom.by/product/fanta/
ФАСОЛЬ СТРУЧКОВАЯ c беконом,"Состав: фасоль стручковая, бекон","5,40 BYN",https://sushidom.by/product/fasol-struchkovaja-s-bekonom/
ФИЛАДЕЛЬФИЯ,"Состав: огурец, рис, майонез, икра Тобико, форель, соус спайси, водоросли нори","8,50 BYN",https://sushidom.by/product/filadelfija/
ФИРМЕННЫЕ КРЫЛЫШКИ делюкс,"Состав: Крылышки, соус терияки, томаты черри","11,90 BYN",https://sushidom.by/product/firmennye-krylyshki-deljuks/
ФИРМЕННЫЕ КРЫЛЫШКИ макси,"Состав: Крылышки, соус терияки, картофель по-деревенски, томаты черри","9,70 BYN",https://sushidom.by/product/firmennye-krylyshki-maksi/
ФИРМЕННЫЕ КРЫЛЫШКИ мини,"Состав: Крылышки, соус терияки, картофель по-деревенски, томаты черри","5,40 BYN",https://sushidom.by/product/firmennye-krylyshki-mini/
ФИСТАШКОВЫЙ Чизкейк,Нет состава,"4,00 BYN",https://sushidom.by/product/fistashkovyj-chizkejk/
ХОККАЙДО САРАДА,"Состав: фунчоза, грибы шиитаке, дайкон, перец, лук порей, японская заправка","4,90 BYN",https://sushidom.by/product/hokkajdo-sarada/
ЦЕЗАРЬ С КРЕВЕТКАМИ,"Состав: лист салата, томаты черри, креветки, пармезан, крутоны, соус Цезарь","7,10 BYN",https://sushidom.by/product/cezar-s-krevetkami/
ЦЕЗАРЬ С КУРИЦЕЙ,"Состав: лист салата, томаты черри, курица, пармезан, крутоны, соус Цезарь","5,80 BYN",https://sushidom.by/product/cezar-s-kuricej/
Чикен Бол,"Подаётся с Чили сладким соусом
рис, курочка, майонез, сыр, кляр темпура, соус чили","6,50 BYN",https://sushidom.by/product/chiken-bol/
ЧИЛИ,Нет состава,"1,50 BYN",https://sushidom.by/product/chili/
ЧУКА САРАДА,"Состав: чукка, тунец, лосось, томаты черри, ореховый соус","8,70 BYN",https://sushidom.by/product/chuka-sarada/
ШВЕПС в ассортименте,Нет состава,"3,20 BYN",https://sushidom.by/product/shveps-v-assortimente/
Кальцоне 4 СЫРА,"Состав: томатный соус, смесь сыров, голубой сыр, сыр рикотта, маслины","9,00 BYN",https://sushidom.by/product/kalcone-4-syra/
Кальцоне MAMA MIA,"Состав: томатный соус, смесь сыров, ветчина, помидоры, халапеньо, лук","9,00 BYN",https://sushidom.by/product/kalcone-mama-mia/
Кальцоне ВЕГА,"Состав: томатный соус, смесь сыров, шампиньоны, лук, маслины, томаты.","9,00 BYN",https://sushidom.by/product/kalcone-vega/
Кальцоне ГРИБНАЯ,"Состав: соус грибной, смесь сыров, шампиньоны, петрушка, маслины","9,00 BYN",https://sushidom.by/product/kalcone-gribnaja/
Кальцоне ИТАЛИЯ,"Состав: соус барбекю, смесь сыров, пепперони, шампиньоны, бекон, маслины","9,00 BYN",https://sushidom.by/product/kalcone-italija/
